,Name,Price €,Kilometer,Gear Type,First Registration,Gas Type,Power,Energy Efficiency,Environment Index,CO2,Registration Year,Powerhorse
341,BMW 320 i Touring M Sport|Stop&Go|HiFi|Parkass.,36980.0,21800.0,Automatik,07/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
342,BMW 320 GT Luxury Line|AUTOM|PANO|LEDER|LED|19 ZOLL|ME,26880.0,72700.0,Automatik,01/2019,Benzin,135 kW (184 PS),"6,2 l/100 km (komb.)",141 g/km (komb.),,2019,184
343,BMW 320 i Tour M Sportpak AdLED°ACC°Headup°HIFI°eSit,35400.0,23860.0,Automatik,07/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
344,BMW 320 320i Aut. M Sport,32990.0,44250.0,Automatik,10/2020,Benzin,135 kW (184 PS),"6,3 l/100 km (komb.)",166 g/km (komb.),CO₂-Klasse F (komb.),2020,184
345,BMW 320 320i+Touring+Aut.+Sport+Line,33500.0,23500.0,Automatik,10/2021,Benzin,135 kW (184 PS),"5,7 l/100 km (komb.)",- (g/km),,2021,184
346,BMW 320 i xDrive*LED*ACC*Navi*Leder*Kamera*Ambiente*,31990.0,21200.0,Automatik,10/2019,Benzin,135 kW (184 PS),"6,3 l/100 km (komb.)",143 g/km (komb.),,2019,184
347,BMW 320 i Touring SportLine AUTOMATIK NAV LED DIG-DISPLAY,29950.0,38673.0,Automatik,04/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
348,BMW 320 i M Sport Touring*LED*Memory*Head Up*Kamera*,33999.0,29000.0,Automatik,05/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
349,BMW 320 i M-Sport Aut Nav LED Glasd Drive+Park HiFi,38880.0,56860.0,Automatik,11/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
350,BMW 320 i M Sport HUD/LED/LEDER/RFK/LCI/SHADOW LINE,36900.0,40000.0,Automatik,07/2023,Benzin,135 kW (184 PS),"7,2 l/100 km (komb.)",159 g/km (komb.),,2023,184
351,BMW 320 i Touring M Sport HiFi DAB LED WLAN RFK Shz,34812.0,40900.0,Automatik,03/2022,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2022,184
352,BMW 320 i Touring M Sportpaket|Stop&Go|LCProf.|HiFi,35555.0,36956.0,Automatik,05/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
353,BMW 320 i Touring Luxury Line DAB LED Komfortzg. Shz,27990.0,95600.0,Automatik,06/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
354,BMW 320 320i M Sportpaket HeadUp ACC Memo RFK AHK Sound,37690.0,25600.0,Automatik,01/2024,Benzin,135 kW (184 PS),"6,8 l/100 km (komb.)",153 g/km (komb.),CO₂-Klasse E (komb.),2024,184
355,BMW 320 iA Touring Luxury Line 1.Hand LED Leder Head,28995.0,84606.0,Automatik,03/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
356,BMW 320 iA Tour. Luxury Line LiveCock.AHK.ParkAss.SHZ,31899.0,43470.0,Automatik,10/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
357,BMW 320 i Touring M-Sport PANO+HUD+ACC+KAM+MEM,34950.0,34500.0,Automatik,03/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
358,BMW 320 320i xDrive Aut. Sport Line,29900.0,68235.0,Automatik,09/2019,Benzin,135 kW (184 PS),"5,9 l/100 km (komb.)",135 g/km (komb.),,2019,184
359,BMW 320 i Touring M-Sport ABSTANDST. MEMORY HEAD-UP,35480.0,18060.0,Automatik,06/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
360,BMW 320 i Touring M-Sport HEAD-UP MEMORY ABSTANDST.,36480.0,25290.0,Automatik,04/2024,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2024,184
361,BMW 320 i Touring M Sport Laser Ahk ACC Pano HiFi HuD,30390.0,99500.0,Automatik,06/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
362,"BMW 320 i M SPORT Stop+Go,LED,LivePlus,Hifi,Kamera Navi",37950.0,5386.0,Automatik,06/2024,Benzin,135 kW (184 PS),"8,0 l/100 km (komb.)",105 g/km (komb.),CO₂-Klasse C (komb.),2024,184
363,BMW 320 i M Sport HUD DAB HiFi Stop&Go PDC LED Alarm,28999.0,92451.0,Automatik,08/2021,Benzin,135 kW (184 PS),- (l/100 km),153 g/km (komb.),CO₂-Klasse A (komb.),2021,184
364,BMW 320 i touring Advantage *AHK*LIVE CP*UPE:52,26450.0,85841.0,Automatik,04/2022,Benzin,135 kW (184 PS),"5,8 l/100 km (komb.)",152 g/km (komb.),,2022,184
365,BMW 320 iA Tou M-Sport LCProf HUD RFK Laser eSitze,32990.0,66972.0,Automatik,04/2021,Benzin,135 kW (184 PS),"7,1 l/100 km (komb.)",161 g/km (komb.),CO₂-Klasse F (komb.),2021,184
366,BMW 320 i M Sport HUD/LED/LEDER/RFK/LCI/SHADOW LINE,36900.0,40000.0,Automatik,07/2023,Benzin,135 kW (184 PS),"7,2 l/100 km (komb.)",159 g/km (komb.),,2023,184
367,BMW 320 i Tour M Sportpak AdLED°ACC°HIFI°el.Sitz*HUP,35900.0,21300.0,Automatik,06/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
368,"BMW 320 i Tour. M-Paket,Adapt.LED,HeadUp,LC Prof.,ACC",35850.0,19800.0,Automatik,05/2023,Benzin,135 kW (184 PS),"7,1 l/100 km (komb.)",159 g/km (komb.),CO₂-Klasse F (komb.),2023,184
369,BMW 320 i Prof. DAB PDC Klima Sitzhzg. Lordose,32990.0,21519.0,Automatik,02/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
370,BMW 320 i Tour M Sport ACC HiFi RFK KZU HuD QI ad.LED,33390.0,31500.0,Automatik,06/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
371,BMW 320 i Limousine Advantage DAB LED Komfortzg. Shz,29930.0,54200.0,Automatik,06/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
372,BMW 320 i M Sportpaket HiFi LED RKamera Navi HiFi SHZ,37730.0,16599.0,Automatik,06/2024,Benzin,135 kW (184 PS),"7,0 l/100 km (komb.)",148 g/km (komb.),CO₂-Klasse E (komb.),2024,184
373,BMW 320 i Limousine M Sport Gestiksteuerung Head-Up,34850.0,46809.0,Automatik,03/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
374,BMW 320 3 Touring 320 i M Sport Navi LED Head-up PDC Klima,31990.0,58798.0,Automatik,05/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
375,"BMW 320 i Limousine M-Sportpaket NP 62.969,-  HiFi",37900.0,20000.0,Automatik,10/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
376,BMW 320 320i Touring M Sport HUD ACC RFK Sound el.Sitze,34490.0,25000.0,Automatik,06/2023,Benzin,135 kW (184 PS),"6,9 l/100 km (komb.)",159 g/km (komb.),CO₂-Klasse F (komb.),2023,184
377,BMW 320 i M Sport LiveCockpit DrivingAssist 3Zonen,37990.0,11007.0,Automatik,04/2022,Benzin,135 kW (184 PS),"7,2 l/100 km (komb.)",163 g/km (komb.),CO₂-Klasse F (komb.),2022,184
